TYPE,TEXTUREID,X,Y,NAME
Room,graphics\Catacombs2.png,0,0,room
RoomFloor,graphics\CatacombsFloor.png,0,0,roomfloor
mapObj,,-18.999992,-68.999992,poop
mapObj,,-39.000004,-49.999996,poop
mapObj,,-62.999989,-25.999990,poop
mapObj,,-48.000004,4.000008,poop
mapObj,,-30.000000,26.999992,poop
mapObj,,9.000003,24.000008,poop
mapObj,,46.999989,19.999998,poop
mapObj,,56.999977,-13.000006,poop
mapObj,,37.000000,-42.000000,poop
mapObj,,10.999977,-69.999992,poop
mapObj,,-88.999985,-58.999996,poop
mapObj,,-129.999985,-58.999996,poop
mapObj,,-164.999985,-28.999996,poop
mapObj,,-164.999985,4.000008,poop
mapObj,,-145.999985,26.999992,poop
mapObj,,-115.000000,35.999989,poop
mapObj,,-85.000000,11.999983,poop
mapObj,,-351.999969,-201.000015,rock
mapObj,,360.000000,-206.000000,rock
mapObj,,-361.999969,188.999985,rock
mapObj,,361.999969,188.000000,rock
mapObj,,-189.999985,-199.000000,rock
mapObj,,207.999985,-208.000000,rock
mapObj,,-166.000000,186.000000,rock
mapObj,,195.999969,184.000000,rock
monster,,-320.999969,-182.000000,boomfly
monster,,-316.999969,152.000015,boomfly
monster,,342.999969,-182.000000,boomfly
monster,,347.999969,190.999985,boomfly
monster,,-277.999969,-201.999985,charger
monster,,290.000000,-201.999985,charger
monster,,-268.000000,206.999985,charger
monster,,286.000000,210.000015,charger
monster,,-369.000000,-76.000008,charger
monster,,374.000000,-81.000000,charger
monster,,370.999969,97.999992,charger
monster,,-372.999969,108.999992,charger
